資料6　主要航空機の保有数・性能諸元,,,,,,,,,,,,
,,,,,,,,,,,,（2024.3.31現在）
所属,形式,機種,用途,保有数（機）,最大速度（ノット）,その他の最大速度単位,乗員（人）,乗員の人数範囲,輸送人員（人）,全長（m）,全幅（m）,エンジン
陸上自衛隊,固定翼,LR-2,連絡偵察,8 ,300 ,,2 ,,8 ,14.2 ,17.7 ,ターボプロップ、双発
陸上自衛隊,回転翼,AH-1S,対戦車,40 ,120 ,,2 ,,***,13.6 ,3.6 ,ターボシャフト、単発
陸上自衛隊,回転翼,OH-1,観測,37 ,140 ,,2 ,,***,12.0 ,3.3 ,ターボシャフト、双発
陸上自衛隊,回転翼,UH-1J,多用途,106 ,110 ,,2 ,,11 ,12.7 ,2.8 ,ターボシャフト、単発
陸上自衛隊,回転翼,UH-2,多用途,9 ,130 ,,2 ,,11 ,13.1 ,2.9 ,ターボシャフト、双発
陸上自衛隊,回転翼,CH-47J／JA,輸送,49 ,150／140,,3 ,,55 ,15.9 ,3.8／4.8,ターボシャフト、双発
陸上自衛隊,回転翼,UH-60JA,多用途,39 ,150 ,,2 ,,12 ,15.6 ,5.5 ,ターボシャフト、双発
陸上自衛隊,回転翼,AH-64D,戦闘,12 ,150 ,,2 ,,***,15.0 ,5.7 ,ターボシャフト、双発
陸上自衛隊,ティルト・ローター機,V-22,輸送,14 ,280 ,,3 ,,24 ,17.5 ,15.5 ,ターボシャフト、双発
海上自衛隊,固定翼,P-1,哨戒,34 ,450 ,,11 ,,***,38.0,35.4,ターボファン、4発
海上自衛隊,固定翼,P-3C,哨戒,32 ,400 ,,11 ,,***,35.6,30.4,ターボプロップ、4発
海上自衛隊,固定翼,US-2,救難,7 ,320 ,,11 ,,***,33.3,33.2,ターボプロップ、4発
海上自衛隊,回転翼,SH-60J,哨戒,7 ,150 ,,4 ,,***,15.3,4.4,ターボシャフト、双発
海上自衛隊,回転翼,SH-60K,哨戒,73 ,140 ,,4 ,,***,15.9,4.4,ターボシャフト、双発
海上自衛隊,回転翼,SH-60L,哨戒,2 ,140 ,,4 ,,***,15.9,4.4,ターボシャフト、双発
海上自衛隊,回転翼,MCH-101,掃海・輸送,10 ,150 ,,4 ,,***,19.5,5.1,ターボシャフト、3発
航空自衛隊,固定翼,F-15J／DJ,戦闘,200 ,2.5 ,マッハ,1／2,,***,19.4 ,13.1 ,ターボファン、双発
航空自衛隊,固定翼,F-2A／B,戦闘,91 ,2 ,マッハ,1／2,,***,15.5 ,11.1 ,ターボファン、単発
航空自衛隊,固定翼,F-35A,戦闘,38 ,1.6 ,マッハ,1 ,,***,15.6 ,10.7 ,ターボファン、単発
航空自衛隊,固定翼,C-1,輸送,4 ,0.76 ,マッハ,5 ,,60 ,29.0 ,30.6 ,ターボファン、双発
航空自衛隊,固定翼,C-2,輸送,16 ,0.82 ,マッハ,2 ,2～5,110 ,43.9 ,44.4 ,ターボファン、双発
航空自衛隊,固定翼,C-130H,輸送,13 ,320 ,,6 ,,92 ,29.8 ,40.4 ,ターボプロップ、4発
航空自衛隊,固定翼,KC-767,空中給油・輸送,4 ,0.84 ,マッハ,4 ,4～8,200 ,48.5 ,47.6 ,ターボファン、双発
航空自衛隊,固定翼,KC-46A,空中給油・輸送,4 ,0.86,マッハ,3 ,3～14,104 ,50.4 ,47.6 ,ターボファン、双発
航空自衛隊,固定翼,KC-130H,空中給油・輸送,3 ,320 ,,6 ,,92 ,29.8 ,40.4 ,ターボプロップ、4発
航空自衛隊,固定翼,E-2C,早期警戒,10 ,320 ,,5 ,,***,17.6 ,24.6 ,ターボプロップ、双発
航空自衛隊,固定翼,E-2D,早期警戒,5 ,350 ,,5 ,,***,17.6 ,24.6 ,ターボプロップ、双発
航空自衛隊,固定翼,E-767,早期警戒管制,4 ,450 ,,20 ,,***,48.5 ,47.6 ,ターボファン、双発
航空自衛隊,固定翼,RQ-4B,偵察,3 ,310 ,,0 ,,***,14.5 ,39.9 ,ターボファン、単発
航空自衛隊,回転翼,CH-47J,輸送,15 ,160 ,,5 ,,48 ,15.9 ,4.8 ,ターボシャフト、双発
航空自衛隊,回転翼,UH-60J,救難,38 ,140 ,,5 ,,***,15.7 ,5.4 ,ターボシャフト、双発
（注）1　保有数は、2024.3.31現在の国有財産台帳数値である。,,,,,,,,,,,,
2　乗員の項で（　）内の数値は、輸送人員を示す。,,,,,,,,,,,,
3　回転翼機およびティルト・ローター機の全長、全幅はローター径を含まない数値である。,,,,,,,,,,,,
4　最大速度は概数である。,,,,,,,,,,,,
